Scenario,Algorithm,Avg Throughput (Mbps),Avg CWND (packets),Loss Ratio,Fairness
Scenario 1,TCP Tahoe,4.4002064,37.33312785388128,0.00098117210289048,0.9110075079449997
Scenario 1,TCP Reno,4.451092266666667,38.399355046720856,0.0008913902191771245,0.9110075079449997
Scenario 1,TCP NewReno,4.3921472,38.02683463715605,0.0009741237314252316,0.9110075079449997
Scenario 1,TCP Cubic,5.053313066666667,43.72671053379457,0.0010313404347022967,0.9110075079449997
Scenario 1,TFRC,1.5373994666666666,2.6223514547690385,0.0010624841892233746,0.9110075079449997
Scenario 2,TCP Tahoe,2.5784768,20.77938695899457,0.005271932591357636,0.9028003515695922
Scenario 2,TCP Reno,2.1738816,18.54185124784502,0.004989664266875757,0.9028003515695922
Scenario 2,TCP NewReno,2.3100704,19.913682159790508,0.004730273752012883,0.9028003515695922
Scenario 2,TCP Cubic,2.8311541333333334,24.527480147397377,0.005239326411403401,0.9028003515695922
Scenario 2,TFRC,0.8106309333333334,2.1972531073800052,0.004732313575525813,0.9028003515695922
Scenario 3,TCP Tahoe,1.3736069333333334,11.877666666666666,0.00979511647488072,0.8128928170588084
Scenario 3,TCP Reno,1.4790384,13.054401455500042,0.00980059950475694,0.8128928170588084
Scenario 3,TCP NewReno,1.5157136,13.486132134602702,0.010245589057812579,0.8128928170588084
Scenario 3,TCP Cubic,1.9455376,17.237848032663738,0.01053402768152387,0.8128928170588084
Scenario 3,TFRC,0.11543733333333334,1.0,0.011666666666666667,0.8128928170588084
